,label,shop_id,rider_id,data_id,phonemode,networktype,platform,max_rssi,min_rssi,avg_rssi,var_rssi,rssi_cnt,avg_dist_gps,main_category_name,avg_delivery_duration,sku_cnt,sex,age,taking_work_time
0,1,1958,350649,1,MI 6,4G,2,-84,-84,-84,0,1,0.010371324,简�?30,75,1,47,2017/2/21 14:23,
1,1,157187025,350649,2,MI 6,4G,2,-62,-91,-81.6,113.84,5,0.06348479,烧腊�?31,75,1,47,2017/2/21 14:23,
2,1,157187025,350649,3,MI 6,4G,2,-84,-91,-88.5,8.25,4,0.06348479,烧腊�?31,75,1,47,2017/2/21 14:23,
3,1,157187025,350649,4,MI 6,4G,2,-84,-91,-88.5,8.25,4,0.06348479,烧腊�?31,75,1,47,2017/2/21 14:23,
4,1,157187025,350649,5,MI 6,4G,2,-80,-91,-86.8,18.16,5,0.06348479,烧腊�?31,75,1,47,2017/2/21 14:23,
5,1,157187025,350649,6,MI 6,4G,2,-84,-91,-88.5,8.25,4,0.06348479,烧腊�?31,75,1,47,2017/2/21 14:23,
6,1,1778360,350649,7,MI 6,4G,2,-84,-101,-95.5,48.25,4,0.011544892,简�?30,76,1,47,2017/2/21 14:23,
7,1,1778360,350649,8,MI 6,4G,2,-67,-75,-71.25,6.6875,8,0.018160881,简�?30,76,1,47,2017/2/21 14:23,
8,1,1778360,350649,9,MI 6,4G,2,-69,-76,-70.75,9.1875,4,0.036214675,简�?30,76,1,47,2017/2/21 14:23,
9,1,1778360,350649,10,MI 6,4G,2,-68,-80,-73.5,20.25,6,0.023012334,简�?30,76,1,47,2017/2/21 14:23,
10,1,1778360,350649,11,MI 6,4G,2,-68,-80,-72.6,19.44,5,0.023012334,简�?30,76,1,47,2017/2/21 14:23,
11,1,1958,350649,12,MI 6,4G,2,-83,-91,-86.5,9.916666667,6,0.015525402,简�?30,75,1,47,2017/2/21 14:23,
12,1,902104,350649,13,MI 6,WIFI,2,-73,-73,-73,0,2,0.009682462,包子粥店,25,62,1,47,2017/2/21 14:23
13,1,157187025,350649,14,MI 6,4G,2,-61,-81,-71.57142857,29.10204082,14,0.079120219,烧腊�?31,75,1,47,2017/2/21 14:23,
14,1,159318871,351164,15,"iPhone7,1",4G,1,-61,-91,-70.54545455,94.24793388,22,0.039570863,简�?41,57,1,46,2018/11/19 12:41,
